French,English
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mettre,to put
aucun,no
laisse,leash
eux,them
arrivé,come
devrait,should
heures,hours
revoir,meet again
aucune,any
place,square
étaient,were
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
main,hand
côté,side
vieux,old
tellement,so much
point,point
pardon,sorry
vers,towards
chambre,bedroom
belle,beautiful
parti,left
boulot,job
terre,Earth
compte,account
fin,end
croire,believe
plutôt,rather
jouer,to play
bureau,office
